Removed: [de] array/pref_navscreen_layoutstate_choices (item mismatch)
Removed: [es-rUS] string/permission_notification (format mismatch)
Removed: [es-rUS] string/save_file (format mismatch)
Removed: [es] string/permission_notification (format mismatch)
Removed: [es] string/save_file (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_break (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_dangerous (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_good (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_hazardous (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_light_pollution (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_moderate (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_pure (format mismatch)
Removed: [fi-rFI] string/aqi_quality_index_unhealthy (format mismatch)
Removed: [iw-rIL] string/permission_notification (format mismatch)
Removed: [iw-rIL] string/save_file (format mismatch)
Removed: [ko] array/search_bar_search_engines_default (item mismatch)
Removed: [ko] array/search_engines_default (item mismatch)
Removed: [my-rMM] string/permission_notification (format mismatch)
Removed: [my-rMM] string/save_file (format mismatch)
Removed: [pt-rBR] string/permission_notification (format mismatch)
Removed: [pt-rBR] string/save_file (format mismatch)
Removed: [pt-rPT] string/permission_notification (format mismatch)
Removed: [pt-rPT] string/save_file (format mismatch)
Removed: [uk] string/aqi_quality_index_break (format mismatch)
Removed: [uk] string/aqi_quality_index_dangerous (format mismatch)
Removed: [uk] string/aqi_quality_index_good (format mismatch)
Removed: [uk] string/aqi_quality_index_hazardous (format mismatch)
Removed: [uk] string/aqi_quality_index_light_pollution (format mismatch)
Removed: [uk] string/aqi_quality_index_moderate (format mismatch)
Removed: [uk] string/aqi_quality_index_pure (format mismatch)
Removed: [uk] string/aqi_quality_index_unhealthy (format mismatch)
